                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6948,                 1.2277,                 1.0169,                0.67103,                0.63159,                0.59103,                0.29882,                 1.5536,                 1.1281,                0.98541,               0.006634,               0.006634,               0.006634
                     36,                 1.6673,                 1.2051,                  1.007,                0.72125,                0.57854,                0.64208,                0.34549,                 1.5104,                 1.1326,                0.97016,               0.006535,               0.006535,               0.006535
                     37,                 1.6637,                 1.2097,                 1.0178,                0.62341,                0.56804,                0.61842,                 0.3352,                 1.5204,                   1.18,                 0.9712,               0.006436,               0.006436,               0.006436
                     38,                 1.6509,                 1.2021,                 1.0044,                 0.5697,                0.61522,                0.59138,                 0.3214,                 1.5463,                 1.2072,                0.98589,               0.006337,               0.006337,               0.006337
                     39,                 1.6608,                 1.1998,                 1.0025,                0.69947,                0.58855,                0.63224,                0.37246,                 1.4155,                 1.2059,                0.95837,               0.006238,               0.006238,               0.006238
                     40,                 1.6491,                 1.1857,                 1.0115,                0.64442,                0.61976,                0.64019,                0.34399,                 1.5433,                 1.1395,                0.97415,               0.006139,               0.006139,               0.006139
                     41,                 1.6466,                 1.1876,                 1.0196,                0.56856,                0.61535,                0.59192,                0.30734,                  1.541,                 1.1704,                0.97394,                0.00604,                0.00604,                0.00604
                     42,                 1.6375,                  1.179,                 1.0026,                0.62981,                 0.6114,                0.62075,                0.34671,                 1.4405,                 1.0686,                0.95578,               0.005941,               0.005941,               0.005941
                     43,                 1.6284,                 1.1765,                 1.0115,                0.58816,                0.62056,                0.59916,                0.34286,                 1.4273,                 1.1073,                0.96015,               0.005842,               0.005842,               0.005842
                     44,                 1.6197,                 1.1741,                 1.0042,                0.60371,                0.65392,                0.65414,                0.36972,                 1.4621,                 1.0929,                0.96403,               0.005743,               0.005743,               0.005743
                     45,                 1.6097,                 1.1692,                 1.0009,                0.65404,                0.62255,                0.64199,                 0.3497,                 1.5094,                 1.0969,                0.97568,               0.005644,               0.005644,               0.005644
                     46,                 1.6077,                 1.1292,                0.99886,                0.61416,                0.61887,                0.64248,                0.35586,                 1.4818,                  1.121,                0.96188,               0.005545,               0.005545,               0.005545
                     47,                 1.6205,                 1.1527,                0.99675,                0.71001,                0.57623,                0.62931,                0.34407,                 1.5052,                 1.0691,                0.96866,               0.005446,               0.005446,               0.005446
                     48,                 1.5833,                 1.1422,                0.97943,                0.70506,                0.63016,                0.66751,                0.35939,                  1.398,                 1.0582,                0.95189,               0.005347,               0.005347,               0.005347
                     49,                 1.5816,                 1.1481,                 1.0005,                0.64144,                0.56745,                0.63557,                0.35649,                 1.4699,                 1.1359,                0.96436,               0.005248,               0.005248,               0.005248
                     50,                 1.6025,                 1.1404,                0.99977,                 0.6496,                0.63218,                0.63048,                0.34335,                 1.4926,                 1.0823,                0.96323,               0.005149,               0.005149,               0.005149
                     51,                 1.5969,                 1.1281,                0.99656,                0.69896,                0.62233,                0.66581,                0.37725,                 1.3984,                 1.0449,                0.95219,                0.00505,                0.00505,                0.00505
                     52,                 1.5508,                 1.1064,                0.99071,                0.65758,                0.64089,                0.65636,                0.33608,                 1.5948,                 1.0665,                0.97912,               0.004951,               0.004951,               0.004951
                     53,                 1.5724,                 1.1114,                0.99116,                0.57946,                 0.6104,                0.64762,                0.36257,                  1.431,                 1.1544,                0.95272,               0.004852,               0.004852,               0.004852
                     54,                  1.593,                 1.1155,                0.98503,                  0.782,                0.63841,                0.71306,                0.38291,                 1.4841,                 1.0867,                  0.958,               0.004753,               0.004753,               0.004753
                     55,                 1.5548,                 1.0971,                0.98068,                0.68496,                0.56236,                0.63566,                0.34851,                 1.4582,                 1.1469,                0.95524,               0.004654,               0.004654,               0.004654
                     56,                 1.5656,                 1.1124,                0.99304,                0.62175,                0.60665,                0.66598,                 0.3896,                 1.3467,                 1.0943,                0.94439,               0.004555,               0.004555,               0.004555
                     57,                 1.5552,                 1.1011,                 0.9863,                0.62154,                0.63174,                0.67592,                0.39986,                 1.3661,                 1.0637,                0.94059,               0.004456,               0.004456,               0.004456
                     58,                 1.5641,                 1.0681,                 0.9963,                0.67204,                0.66777,                0.67333,                0.39007,                  1.396,                  1.055,                0.95028,               0.004357,               0.004357,               0.004357
                     59,                 1.5256,                  1.071,                0.97432,                 0.7247,                0.62096,                0.67224,                0.35427,                 1.4971,                 1.0896,                0.95608,               0.004258,               0.004258,               0.004258
                     60,                  1.551,                 1.0897,                0.98165,                0.66023,                0.67133,                0.69855,                0.40994,                  1.363,                 1.0231,                0.93986,               0.004159,               0.004159,               0.004159
                     61,                  1.552,                 1.0842,                0.99198,                0.66928,                0.60452,                0.70055,                0.41381,                 1.3785,                 1.0313,                0.94149,                0.00406,                0.00406,                0.00406
                     62,                 1.5249,                 1.0588,                0.97868,                0.64878,                0.66121,                0.70878,                0.40371,                  1.413,                 1.0339,                0.94658,               0.003961,               0.003961,               0.003961
                     63,                 1.5464,                 1.0679,                0.98865,                0.65383,                0.69032,                0.71656,                0.42617,                 1.3805,                 1.0581,                0.94614,               0.003862,               0.003862,               0.003862
                     64,                 1.5291,                 1.0594,                0.97155,                0.61719,                0.62907,                0.66339,                0.37257,                 1.4969,                 1.0427,                0.96082,               0.003763,               0.003763,               0.003763
                     65,                 1.5174,                 1.0691,                0.97149,                0.67972,                0.66543,                0.68708,                0.39428,                   1.41,                 1.0089,                0.94918,               0.003664,               0.003664,               0.003664
                     66,                 1.5287,                 1.0663,                0.97232,                 0.6721,                0.63443,                0.68673,                0.40772,                 1.3204,                 1.0237,                0.93069,               0.003565,               0.003565,               0.003565
                     67,                 1.4925,                 1.0433,                0.97605,                0.65591,                0.66209,                0.66195,                  0.402,                 1.2816,                 1.0131,                 0.9311,               0.003466,               0.003466,               0.003466
                     68,                 1.5224,                 1.0369,                0.97948,                0.64095,                0.61714,                0.70179,                0.40363,                  1.345,                 1.0544,                0.93489,               0.003367,               0.003367,               0.003367
                     69,                 1.4816,                 1.0391,                0.97483,                 0.6927,                0.65158,                0.68638,                0.39503,                 1.4161,                 1.0476,                  0.948,               0.003268,               0.003268,               0.003268
